Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Gormshell Greaves,Valinor's Ground Pounders,Thunderous Echo Vambraces,Guilewind Stone Talons,Ritual Bone Band,Ritualist's Treasured Ring,Viscera of Coalesced Hatred,Macabre Sheet Music,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Encrusted Canopic Lid,151455559,,
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,183854727,,
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Bloodoath Signet,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,242363131,Precious' Ribbon,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Gluttonous Spike,Sinful Gladiator's Insignia of Alacrity,Mantle of Manifest Sins,Sophisticated Bonecracker,Sinful Gladiator's Guard,192045964,Yellow Martial Shirt,Renowned Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Shoulderblade Vambraces,Sinful Gladiator's Plate Handguards,Ring of Perpetual Conflict,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Overwhelming Power Crystal,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,243470491,,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Signet of the False Accuser,Slimy Consumptive Organ,Gluttonous Spike,Cloak of Enveloping Manifestations,Supercollider,Acidslough Bulwark,199760651,Artisan Member's Shirt,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Entwined Gorger Tendril,Death God's Signet,Pulsating Stoneheart,Bladedancer's Armor Kit,Grim-Veiled Cape,Sinsmasher,Sinful Gladiator's Guard,170921071,Wraps of the Blood-Soaked Brawler,Tabard of the Lightbringer
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,167867313,,
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,200315419,,
Casque of the Path,Trailspinner Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Ring of Perpetual Conflict,Shadowghast Ring,Bargast's Leash,Slimy Consumptive Organ,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,202206009,Purple Martial Shirt,
