Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Common Brown Shirt,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Death God's Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,Scout's Tabard,137177891
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Precious' Ribbon,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Shadowghast Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Sinful Gladiator's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Corrupted Gladiator's Tabard,97349937
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Ardent Sunstar Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,Renowned Guild Tabard,164899019
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Sleeveless T-Shirt,Breastplate of Otherworldly Influence,Stonebark Girdle,Gormshell Greaves,Dynamo Doomstompers,Shoulderblade Vambraces,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Sinful Gladiator's Badge of Ferocity,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,Tabard of the Explorer,161150944
Diadem of Imperious Desire,Charm of Eternal Winter,Prankster's Pauldrons,,Abdominal Securing Chestguard,Fused Bone Greatbelt,Shadowghast Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fleshfused Crushers,Ritual Bone Band,Signet of the False Accuser,Inscrutable Quantum Device,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Renowned Guild Tabard,155250431
Plague Handler's Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Bloodoath Signet,Shadowghast Ring,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,,118742265
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Artisan Member's Shirt,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Sophisticated Bonecracker,Elysian Sentinel's Aegis,Tabard of the Lightbringer,121583901
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Bold Yellow Shirt,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Death God's Signet,Sinful Gladiator's Band,Anima Field Emitter,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,Fierce Gladiator's Tabard,155994042
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Breastplate of Brutal Dissonance,Selfless Collector's Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Selfless Collector's Gauntlets,Bloodoath Signet,Death God's Signet,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Decadent Nathrian Shawl,Axe of the Deadgrove,Barricade of the Endless Empire,,156363333
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Signet of the False Accuser,Death God's Signet,Sanguine Vintage,Blood-Spattered Scale,Decadent Nathrian Shawl,Engorged Worm Smasher,Barricade of the Endless Empire,Stormwind Tabard,166768405
